Content,Section
"A consortium that includes high street giant Next is thought to be in pole position to buy Sir Philip Green’s Topshop empire out of administration. Arcadia, which employed 13,000 people across 500 outlets at the time of last year’s collapse, is being auctioned, with Monday being the deadline for final bids. Next, which has partnered with the US hedge fund Davidson Kempner, is pitted against Authentic Brands, the US owner of the Barneys department store, which has been linked to a joint bid with JD Sports. Mike Ashley’s Frasers Group and online retailer Boohoo have also been circling. Administrators from Deloitte hope to complete the sale by the end of this month. Arcadia, which Green bought for £850m in 2002, is home to a stable of household names including Topshop, Topman, Dorothy Perkins, Wallis, Miss Selfridge and Burton. Evans, its plus-size clothing brand, has already been hived off and sold to City Chic Collective, an Australian retailer, for £23m. Arcadia has been the biggest corporate casualty of the pandemic, which has hammered high-street retailers. The high-street closures proved to be the final straw for the group, which had suffered years of flagging sales amid heavy competition from rivals such as Boohoo and Primark. It only narrowly avoided administration in 2019 after landlords agreed rent reductions and store closures.  Next’s chief executive, Simon Wolfson, has confirmed its interest in Arcadia, but said it was “only interested in the brands that we think are very, very good” and would be a minority shareholder in any new venture. If victorious, the Next consortium is expected to work with Arcadia’s existing management. Stores could be saved if landlords were willing to link rents to sales, according to the Sunday Times. The Evans deal resulted in the closure of all its outlets as the new owners plan to sell its clothing online only. Wolfson said its involvement in Arcadia would be in similar vein to its Victoria’s Secret joint venture, where Next operates the stores and website but has no part in developing the ranges. The FTSE 100 retailer has been expanding its portfolio of brands over the past year, including through licensing deals with Ted Baker and the new owners of Laura Ashley, which also went into administration in 2020. In the wake of the BHS scandal, which saw Green eventually agreeing to pay £363m into the company’s depleted pension pot, the failure of Arcadia has thrown the spotlight on its own scheme, which has an estimated £350m deficit. The family is making a promised £50m payment a year early and has also signed over some Arcadia property assets – but it is not yet clear whether it will be enough to fill the hole. ",business
"Connells has struck an agreed offer for Countryside, the owner of Hamptons International, after raising its bid to £130m, bringing together two of Britain’s biggest estate agency groups. The boards of Connells, which is part of Skipton building society, and Countrywide, the UK’s biggest listed estate agency group, said they had agreed terms of a recommended cash offer at 395p a share. Connells made an initial offer of 250p a share in early November and raised this to 325p a share a month later. The shares traded at 145p before the initial bid was made. The deal will bring together Countrywide’s 60 well-known high street brands, including Gascoigne-Pees, Bairstow Eves and King & Chasemore, with Connells’ 25 brands – Allen & Harris, Bagshaws Residential, Fox & Sons, and Barnard Marcus in London. Countrywide has 651 branches, while the Connells group has 581. The takeover is backed by the majority of Countrywide’s shareholders and is a lifeline for the business, which has struggled under debts of £91.9m and has been closing branches after years of mounting losses. The deal is expected to complete in the first three months of 2021. It scuppers a rival move made by the UK private equity firm Alchemy, a Countrywide shareholder which proposed a £90m cash injection into the firm in October in return for a controlling stake, and had the support of Peter Long, Countrywide’s executive chairman. Long quit in late November after opposition from shareholders to the plan, and the former William Hill boss Philip Bowcock was appointed chief executive. Before Alchemy’s move, LSL Property Services, which owns Your Move, abandoned a planned all-share merger with Countrywide in March. All of Countrywide’s lenders will be repaid in full, said Connells, pledging to invest in the group’s technology and branch network to turn the business around. It said there would be some job losses as the two head offices in Leighton Buzzard and Milton Keynes were merged, but vowed to retain staff in the branches. The offer is far below Countrywide’s £750m valuation when it floated on the stock market in March 2013 amid a buoyant property market. The company amassed debts when it went on an acquisition spree in 2014 and 2015, buying up high street brands at a time when others invested in online estate agency services. Long blamed its woes on the “completely wrong” strategy pursued by the former chief executive Alison Platt, who sought to run the estate agent like a retailer from a central base, triggering an exodus of middle management. David Livesey, Connells’ chief executive, said: “We have the right management team, strategy and investment firepower to work with the talented teams at Countrywide and lead Countrywide into a bright future.” David Watson, the acting chairman of Countrywide, said: “Following a thorough evaluation of options and extensive consultation with the company’s major shareholders, we have been encouraged by their recognition of the need to put in place a sustainable capital structure and a willingness to support the company, which is a great business that has been constrained by too much debt.” The UK housing market has been surprisingly buoyant this year despite the Covid-19 pandemic. It ground to a halt for a few weeks during the first national lockdown but bounced back in the summer, helped by a stamp duty cut. Demand from buyers looking for bigger homes in leafy locations has surged as many office workers switched to working from home. But forecasters expect the market to cool next year, when the stamp duty cut expires, with unemployment expected to rise sharply.",business
"UK mortgage approvals have risen to the highest level in 13 years, driven by the government’s stamp duty holiday and buyers reassessing their living situation during the coronavirus pandemic. Figures from the Bank of England showed the number of mortgages approved by banks and building societies for home purchases had leapt to 105,000 in November – the highest figure since August 2007, the month immediately before queues formed outside branches of Northern Rock at the start of the financial crisis. Threadneedle Street said the number of monthly approvals had increased by 7,700 on October’s level, reflecting a boom in the mortgage market during the month when rapid growth in Covid infections led the government to impose a second national lockdown in England. Mortgage borrowing plunged during the first Covid lockdown as the crisis sank Britain’s economy into the deepest recession for 300 years, hitting a trough of just £200m in April 2020. Borrowing soared to £5.7bn in November, up £1.2bn on the level in October. The number of new mortgage approvals – which provide an early indicator for borrowing levels in future months when buyers take up their mortgage offers – have increased more than tenfold, after hitting a low point of 9,400 in May. Figures from the Bank also showed households repaid £1.5bn of credit card debt, personal loans and car finance in November, in a reflection of weaker consumer spending during the second national lockdown and some households in which people work from home being able to save money. Since the start of the pandemic in March, households have repaid £17.3bn of consumer credit, according to the Bank, bucking a trend in recent years for rapid growth in credit-card borrowing. While many low-income workers have suffered a financial hit during the pandemic, total household deposits increased by almost £5bn on the month to reach £17.6bn, as people saved money while much of the high street was closed. Despite the boom in mortgage approvals – equivalent to the last days of the mid-2000s property bubble when zero-deposit mortgages were still widely available – analysts warn that a sharp drop in activity is looming. The UK housing market boomed in 2020, with property prices soaring to a six-year high as people rushed to take advantage of the stamp duty holiday and re-evaluated their living arrangements during lockdown. However, mortgage lenders and economists warn the end of the stamp duty holiday in March and rising unemployment could trigger a collapse in house prices in 2021. Halifax, Britain’s biggest mortgage lender, estimates an annual drop of between 2% and 5%, while the Office for Budget Responsibility, the government’s economic forecaster, is more pessimistic, predicting an 8% fall. Faced with the potential downturn, lenders have made it tougher for buyers with smaller deposits to purchase a home – hitting first-time buyers. Samuel Tombs, chief UK economist at the consultancy Pantheon Macroeconomics, said demanded looked set to remain strong right up until the starting threshold for paying stamp duty – the tax paid on property purchases – returns to £125,000, from £500,000 at present. “The mortgage market is heading for a hard landing,” he said. House price growth is, however, expected to return in 2022, according to analysts, despite the cost of a home rising out of reach for increasing numbers of people in recent years. Tom Bill, the head of UK residential research at the estate agents Knight Frank, said: “While the end of the stamp duty holiday in March will clearly have an impact on transaction numbers, the effect will be reduced if the pandemic has entered the endgame. Some buyers and sellers may hesitate in coming weeks, but sentiment will ultimately improve over the course of the year.”",business
"Another 787,000 Americans filed for unemployment benefits in the week before Christmas, the last snapshot of 2020’s appalling jobs market before the New Year. Unemployment claims have been rising again in recent weeks to their highest levels since the autumn as surging coronavirus rates have slowed hiring and led to more layoffs. At current levels the weekly claims figures are almost four times their pre-pandemic average. The latest weekly figure from the Department of Labor was 19,000 lower than the previous week’s 803,000 claims but the average number of claims over the last four weeks is now 836,750, more than the population of the city of Seattle. The national unemployment rate started the year at 3.6% in January and hit a record high of 14.7% in April as the coronavirus shut down much of the US economy. The unemployment rate has since declined dramatically, it was 6.7% in November, but the recovery has been uneven with women and black, Hispanic and young people still experiencing high levels of unemployment. The numbers of long-term unemployed are rising. The recent increases in weekly unemployment claims signal more trouble ahead. According to the Economic Policy Institute, 25.7 million workers in the US remain officially unemployed, otherwise out of work due to the pandemic, or have experienced a reduction in work hours or pay. After months of wrangling Congress has finally brokered a deal to extend unemployment assistance to the millions laid off during the pandemic. The $900bn Covid-19 relief bill will give those receiving unemployment benefits an extra $300 a week and extends two pandemic-specific programs used by about 14 million people. But the delay in the agreement means many across the country face delays in payments and more hardship. Fernando Comas of Secaucus, New Jersey, worked as a video engineer in the entertainment industry before the pandemic and has been furloughed since March until at least 2021. Six weeks ago, his benefits were exhausted. He has been unable to receive answers from his state unemployment agency to try to resolve the issue. “I have a family to feed, a mortgage to pay, a car payment, and I’m a single father of two small girls who rely on me to provide for them,” said Comas, who cannot afford to find other work because his family’s health coverage is still being covered by his employer. “I’m going to lose everything, probably going to be evicted and will start to go to the food banks for food for my family.”",business
"Primark has said it will lose an additional £220m in sales as more stores are forced to close under new restrictions to control the spread of Covid-19 in the UK. The cut-price fashion chain’s owner, Associated British Foods, said it expected to lose £650m in sales in the year to September, up from the £430m it had announced on 4 December, after the government said major cities including Manchester and Birmingham must join London and the south-east of England in closing non-essential shops. Primark said 253 of its stores would now be temporarily closed from 1 January, just over two-thirds of its outlets globally. The update comes as retailers brace for further pain after the government announced that all of the north-east of England, Greater Manchester, large parts of the Midlands and the south-west would fall under the strictest tier 4 restrictions from Thursday morning. All of mainland Scotland, Wales and Northern Ireland are already under the tightest restrictions which involve the closure of hospitality and non-essential retail, which includes shops that sell clothing, toys, books and electrical goods. The restrictions have been widened in response to a new variant of Covid-19 that has contributed to a record rise in infections across the country. The number of shoppers out and about last week slumped by 46%, compared to the same period in 2019, according to the advisory firm BDO’s high street tracker. Online sales rose by 50% but that was not enough to offset the in-store decline. Total sales for established retailers fell 23%. Fashion sales were down just over a third. Primark takes a heavier hit from store closures than some rivals because it does not sell goods online. When the chain reopened in England earlier this month, however, after a month-long high street lockdown, the group said it saw “phenomenal” sales growth. Eleven stores stayed open overnight, resulting in a 40-hour trading marathon, and shoppers queued to get into the stores in the small hours of the morning.",business
"The fashion and homewares chain Next is considering teaming up with the US owner of Oak Furnitureland to buy the parent company of Topshop. Davidson Kempner Capital Management has held detailed talks with Next about a potential bid for Sir Philip Green’s Arcadia Group, which fell into administration last month, putting 13,000 jobs at risk. Next is understood to be interested in Topshop and Topman while Davidson Kempner, which gave a £180m emergency loan to Poundland in 2018 and has previously been linked with a potential rescue of the Peacocks fashion chain, would take on Arcadia’s smaller brands such as Miss Selfridge, Dorothy Perkins, Burton, Evans and Wallis. Sources said there was no certainty that a deal would be put forward on Monday, when a flurry of bids are now expected to be filed for Arcadia if Next chooses Davidson Kempner as its partner. Next has also held talks with other finance houses, including Alteri and Carlyle, about a bid, according to Sky News, which first reported the potential tie up with Davidson Kempner. The retailer has been expanding its portfolio of brands in the past year with a joint venture to operate 18 Victoria’s Secret standalone lingerie stores in the UK, as well as sell the brand in its own stores and online. It has also become a licence partner licence for Ted Baker lingerie, and has taken on parts of several former Debenhams stores to create a new beauty outlet. Other parties interested in Arcadia are thought to include Mike Ashley’s Frasers Group, online specialist Boohoo, Marks & Spencer and Authentic Brands, the owner of US department store Barneys. Primark has also asked for bidders information but is not expected to place a formal offer. While Boohoo is seen as frontrunner for Topshop, Arcadia’s prime asset from which administrators at Deloitte expect to raise about half the £400m guide price for the group, Next and some other bidders may win an advantage by pledging to keep a substantial number of stores open. Arcadia’s interlinked head office systems, including IT and sourcing, make it difficult for a purely financial player to break up so a willingness to take on the whole group will also be attractive to administrators. The sale is further complicated by Arcadia’s close links to Debenhams, which is set to close all its stores by March if a buyer cannot be found. The department store chain is in talks with Frasers about a potential rescue deal. Davidson Kempner bought Oak Furnitureland out of administration in June and has since been touted as a potential rescuer for several failed UK businesses including Edinburgh Woollen Mill Group, the owner of Peacocks and Jaeger, which is also being sold off by administrators.",business
"Tougher coronavirus restrictions have dealt a fresh setback to struggling city centres, with Christmas shoppers staying away as doubts increase about whether the Boxing Day sales – the next big event in the retail calendar – will be allowed to go ahead. The prime minister this week urged shoppers to “think carefully about avoiding crowds in the Boxing Day sales”. Billions of pounds are usually spent on what is one of the biggest shopping days of the year, although shops in Wales and Northern Ireland have already been told to close. Diane Wehrle, the insights director at the research firm Springboard, which tracks shopper numbers, said the number of shoppers visiting UK stores and shopping centres was about a third less than this time last year, despite the proximity to Christmas. The decline in central London, however, has been far greater, with numbers down nearly 70% on 2019 after the capital was placed in the toughest tier 3 restrictions. That compares with the decline of about 50% recorded by Springboard in regional cities. “Central London has undoubtedly been harder hit than smaller towns and regional cities due to the reliance on public transport and loss of office workers,” said Wehrle. “It is clear that there has been an immediate impact on activity levels following the introduction of tier 3 restrictions.” If the sales are allowed to go ahead, they may be disappointing for retailers anyway as families use their “freedom pass” to spend time together, rather than shop, Wehrle suggested. Some big high street names such as Marks & Spencer are closing this year anyway but rivals such as Next and Selfridges are still set to open. “Footfall has been falling on Boxing Day for some time but it is going to be even harder hit this year because of the five-day pass that we have,” said Wehrle. “People are not going to be thinking about going out shopping so much.” Stores in the West End are heavily reliant on local office workers and overseas tourists who are missing in large numbers. The high-end stores on key shopping thoroughfares such as Oxford Street usually rake in more than £2.5bn in November and December but this year that figure will be less than £900m. Jace Tyrrell, the chief executive of the New West End Company, which represents 600 of the area’s retailer, said the weekends since stores reopened on 2 December had been stronger, with footfall “only 30% down”. It remained to be seen what Londoners’ appetite to shop would be on the last weekend before Christmas now that the city is tier 3. The tough conditions mean worried retailers have already started to cut prices to shift unsold winter fashion and gifts. “Half the West End has probably gone into sale already,” said Tyrell. “There is a lot of stock to clear and I think the worry is we might not have Boxing Day.” Harrods, which last year entertained queueing shoppers on Boxing Day with a Motown band, has abandoned its traditional hoopla. Instead the Knightsbridge store is already selling designer clothing and homeware at half-price. The Watches of Switzerland chief executive, Brian Duffy, said shopper numbers had struggled to recover in London but the picture was better in other cities, such as Birmingham and Glasgow, where shoppers arrived by car. “The only bright spots we’ve seen have been the last two weekends,” he added. “I think there will be an even greater reluctance to go shopping [in London] with the increased alert level.” The Treasury’s decision to end tax-free shopping on 31 December would also “whack” the West End, Duffy said, casting doubt on the future of some of the luxury stores trading in Regent Street and Bond Street. “This whole VAT thing is really alarming for London overall,” he said.",business
"Lloyds Banking Group has cancelled staff bonuses for 2020 after missing financial targets and recording a sharp drop in profits during the Covid crisis. The bank told staff across its Halifax, Lloyds and Bank of Scotland brands on Thursday that it was making an early announcement on bonuses in light of the challenging economic outlook, and with profits already down 85% to £434m in the first nine months of the year. Last year Lloyds cut its bonus pool for the first time in four years to £310m, down from £465m in 2018. The bank told staff in a memo: “Despite the good news about the vaccine rollout, like most of our peers, our year-to-date business performance continues to be challenging.” Despite reporting a third-quarter profit, Lloyds told employees: “We are not where we expected to be and are short of the commitments we made to ourselves and our shareholders – which I know also includes many of you.” The decision has not changed fortunes for the chief executive, António Horta-Osório, who is set to leave in June 2021 and confirmed earlier this year that he would waive his 2020 bonus, worth as much as £1.8m. William Chalmers, the finance chief, also ruled himself out of a payout worth up to approximately £800,000. The decision to cancel bonuses means Lloyds will avoid uncomfortable questions from UK regulators, which said last week they would be scrutinising cash bonuses for bankers in light of the continued economic uncertainty. But the cancellation could prove controversial, if the bank decides to pay shareholders dividends in the new year. The Bank of England last week lifted its temporary ban on dividend payouts to investors, but told lenders a cap would be imposed until at least mid-2021. The coronavirus pandemic has put pressure on bank earnings. Record low interest rates have squeezed net interest income, which measures the difference between interest earned on loans v that paid on deposits. The deteriorating economic outlook has also forced Lloyds to put aside £4.1bn so far to cover potential defaults on loans and credit cards. Lloyds has also announced almost 2,000 job losses since September as part its restructuring plans. Accord, a specialist union for staff in financial services, said: “Bad news is bad news and the lack of any group performance share [bonus] will give some individuals real problems next year when many family budgets are already stretched.” However, unions have reached a tentative agreement to increase salaries by at least 1% for about 80% of Lloyds Banking Group staff. The lowest-paid workers will be guaranteed a pay rise of at least £400. Lloyds is also considering distributing shares to employees in the new year in lieu of a bonus, and earlier this year paid one-off bonuses worth £250 to frontline staff who had worked through the pandemic. The group said: “This decision on bonuses in no way reflects the hard work and commitment our people have made throughout this extraordinary year to keep our businesses operating strongly and to provide support and help to our consumer and business customers.”",business
"Boeing is hiring its own team of up to 160 pilots to work with airlines on its relaunch of its bestselling 737 Max as the plane returns to service around the world. The manufacturer is seeking pilots with instructor experience to observe and help airline pilots once flights of the 737 Max restart in the new year. The pilots will be given 35-day assignments at an equivalent annual salary that could reach $200,000 (£148,000), with a potential total cost of $32m, Reuters first reported. Most airlines plan to start flying the 737 Max in the early months of 2021. American Airlines will start its first commercial flights on 29 December. A smooth return to service for the 737 Max is crucial for the fortunes of Boeing, after the model was grounded from March 2019 after two crashes that killed a total of 346 people. The crisis rocked the US manufacturer, forcing the resignation of a chief executive, Dennis Muilenburg, and costing more than $20bn in compensation to customers and victims’ families and extra production costs. The 737 Max crisis meant Boeing fell much further behind its bitter European rival, Airbus, in the battle to be the world’s largest aeroplane manufacturer, and left it in a weak financial position when the coronavirus pandemic caused a dramatic decline in global air traffic. Boeing said in October it would make 30,000 of its 160,000 workers redundant by the end of 2021 as it tried to retrench. The twin challenges of the crashes and the pandemic have meant orders for the 737 Max have slumped, although Ryanair this month ordered 75 of the jets, probably at a steep discount. Boeing has made a number of changes to the way the 737 Max flies in order to prevent any recurrence of the issues that contributed to the fatal crashes, namely the repeated triggering of an anti-stall system that forced the nose of the plane to dip. As well as the extra pilots, Boeing has set up a 24-hour monitoring facility in California to respond immediately in case of emergency. It is also working with airlines on talking points for discussing the 737 Max with passengers. Reuters reported that an Isle of Man-based company, CCL Aviation, was carrying out pilot recruitment. CCL Aviation did not immediately respond to a request for comment. However, its website advertised job opportunities for captains of Boeing 737, 777 and 787 models with instructing experience.  The advert said the pilots must have more than 1,000 hours of documented aircraft instructor experience for airlines, and have “no incidents, accidents, losses or violations” on their record. A Boeing spokeswoman said: “We continue to work closely with global regulators and customers to safely return the 737-8 and 737-9 to service worldwide.”",business
"The outsourcing company Serco has announced it will repay government furlough scheme support and give staff £100 bonuses each in recognition of their work during the pandemic. Serco has been running much of the UK government’s contact-tracing operation. The furlough scheme repayment will cost about £3m, while about 50,000 frontline staff will receive the one-off bonus payments, at a cost of £5m. The company said the combined cost was equivalent to 5% of 2020 underlying trading profits of £160m-£165m. It said the overall effect of the pandemic before the payouts would be to increase its annual profits by about £14m. Serco’s profits have been boosted by lucrative contracts to run some contact tracing as part of the UK government’s heavily criticised test-and-trace programme. The company is also contracted to run some test centres. Serco said its work on test and trace was still growing and it was operating 200 test sites, up from about 125 in October. The company said it had again delayed a decision as to whether to pay a dividend to shareholders or bonuses to executives until it reported its final results for 2020, which is likely to occur in early 2021. Rachel Reeves, the shadow Cabinet Office minister, raised concerns in October, saying Serco and its executives may benefit from government spending that would be better directed towards the NHS. In September the government’s Scientific Advisory Group for Emergencies (Sage) said the test-and-trace programme had had only a “marginal impact” in reducing transmission of Covid-19. Serco’s work has also been criticised for tracing fewer people than contact tracers working in the public sector. Serco’s chief executive, Rupert Soames, has rejected criticism of his company’s work, saying it hit all targets set by the government. However, those targets do not include the number of people successfully reached by contact tracers, according to key performance indicators listed in documents first reported by Private Eye. Soames said Serco workers had been “resilient, flexible and dedicated to ensuring the delivery of public services”. He added that although Serco and other companies still faced “unprecedented levels of uncertainty”, he expected to make similar revenues and profits in 2021. The company said it expected to report revenue growth of 19% to £3.9bn for 2020.",business
