Content,Section
"Students have called on the universities minister to provide emergency financial support to cover fees and rent after she announced that most of them should not return until at least the end of January. Michelle Donelan also told international students preparing to travel from overseas that they should “consider whether they in fact need to travel to the UK at this time”. The spread of a new Covid-19 variant and the extension of tougher tier 4 restrictions across part of England were cited by Donelan as reasons why the government had to consider further steps to reduce transmission in education settings. However, the announcement on Wednesday evening left students scrambling to make plans, with some directly challenging Donelan on social media to help them with costs including rent for accommodation that will not be used and fees for course that will not be delivered as envisaged. “I’ll be blunt, students want to help but without the government helping them with this endeavour, and to make it cost-effective to them, the plan will fail,” Joshua Connor, an international relations and politics student at the University of Lincoln, wrote in a letter to Donelan. Giving an example of the financial burden he and others faced, Connor told her that he would have to pay £2,100 to the university for the spring term on top of having lost several weeks of accommodation because of travelling home for Christmas during a government-designated “student travel window”. From 5 December to 25 January, he would have paid £1,057 for accommodation he has been unable to use. Like others, he was considering whether or not to travel to use his rented accommodation. Further guidance from the government is expected next week. University authorities have been writing to students in the past 48 hours to advise them of the Department for Education announcement. Cambridge University’s vice-chancellor, Stephen Toope, said in an email to students that the delay was “potentially disruptive and difficult to students”. The academic registrar of Newcastle University, Lucy Backhurst, told students: “We appreciate these last-minute changes will bring their own challenges to many of you.” Support would include January rent rebates for students living in university-owned, university-managed and partnership accommodation arrangements. Universities UK, which represents the sector, said the announcement by Donelan “would understandably raise further issues and uncertainty – for students, universities and staff – which will need to be addressed by government over the coming weeks, including the need for financial support, regulatory flexibility and assessment changes”. The government said it was asking universities to restrict the number of practical students returning from 4 January to those reading subjects in areas including medicine, dentistry and related subjects, social work and courses requiring professional assessments for January and which cannot be rescheduled. Other students with “compelling reasons to return” were also identified. In a separate letter to students, Donelan said her department had worked with the Office for Students to remind education providers that they could use existing funds for hardship support. She added that the government was making available up to a further £20m on a one-off basis to support those who needed it most.",education
"The UK’s largest teaching union has called for all schools in England to remain closed for two further weeks at the end of the Christmas break after a government U-turn which means all primaries in London will be shut next week. The call from the National Education Union came after the education secretary, Gavin Williamson, reversed his decision that primary schools in some parts of London should open on Monday. The government bowed to protests and legal pressure from the capital’s local authorities. Williamson said the decision had been a last resort. Dr Mary Bousted, the joint general secretary of the NEU, said the government needed to close schools in England before infection rates got out of control. “If you allow the conditions to get so bad in the end you’ll be closing schools for longer. “What the government should be doing is what the governments in Scotland, Wales and Northern Ireland are doing. You don’t get this chaos in the other countries of the United Kingdom. And does the government really believe that somehow Covid in England is different than the other countries of the UK? “I find the government’s recklessness in this regard, both with educational professionals’ health, but also with community health, and the questions increasingly around children’s health, inexplicable.”  Under the government’s initial plan, secondary schools and colleges were set to be closed to most pupils for the first two weeks of January, while primary schools within 50 local authorities in London and the south of England were also told to keep their doors shut until 18 January. But the list omitted several London areas where Covid-19 transmission rates remain high including the borough of Haringey, whose leaders said they were prepared to defy the government and support any schools that decided to close to protect staff and pupils. The protests from local authority leaders came to a head with a letter to the education secretary from nine London authorities asking for their primary schools to be closed to all except vulnerable children and those whose parents were key workers. The action provoked an emergency Cabinet Office meeting on New Year’s Day, which signed off on the revision, adding the remaining 10 London education authorities to the government’s “contingency areas”. In the capital, Richard Watts, the leader of Islington council, said: “I’m very relieved to hear this news. There was enormous concern from parents and schools who couldn’t understand the rationale for why some boroughs were excluded. “We welcome that the government has, belatedly, listened to local areas. We will be working with our schools to ensure they offer high quality online learning and can welcome pupils back as soon as Public Health deem it to be sensible.” The Department for Education (DfE) confirmed the move in a statement: “In light of Covid case rates rising rapidly across the capital and ongoing engagement with London leaders and the evidence submitted, the government has reviewed the London boroughs where the contingency framework will apply, with all further boroughs added.” Pupils not eligible to attend in person will be provided with remote learning by their schools. Early years settings will remain open, as will alternative provision and special schools, the DfE said. “We must make this move to protect our country and the NHS. We will continue to keep the list of local authorities under review, and reopen classrooms as soon as we possibly can,” Williamson said. The move means schools in Camden, the City of London, Greenwich, Hackney, Haringey, Harrow, Islington, Kingston upon Thames, Lambeth and Lewisham will be closed to most pupils from Monday until at least 18 January. After the move was revealed by the Guardian, London’s mayor, Sadiq Khan, welcomed the news saying it would mean all the capital’s primary schools would be treated the same. But the decision leaves question marks over the government’s decision-making, and stands as a further humiliating reverse for Williamson during his tenure as education secretary. Kate Green, the shadow education secretary, said: “This is yet another government U-turn creating chaos for parents just two days before the start of term. “Gavin Williamson’s incompetent handling of the return of schools and colleges is creating huge stress for parents, pupils, and school and college staff and damaging children’s education.” Several local authorities had been preparing legal challenges to keep their primary schools closed. “We are advised by leading counsel that the omissions from the list are unlawful on a number of grounds and can be challenged in court,” the letter from the nine London authorities sent to Williamson stated. Schools in the contingency areas may remain closed after 18 January, with the Daily Telegraph quoting a senior government source: “We have been careful not to say they will definitely reopen on 18 January because we don’t know that.” Meanwhile, the DfE faces a further rebellion from secondary school leaders in England over its demand that coronavirus testing of pupils is to be mandatory from 11 January. School leaders and teaching unions have been meeting over the new year period to discuss a response to the demand, with many secondary heads arguing that the testing regime is impractical and unworkable.",education
"Until late on Friday evening, the answer had been that most primaries and attached nurseries would open on 4 January, but would remain closed within 50 local authorities spread across London and the south of England, including Kent and Essex. In a U-turn, however, the Department for Education announced that all London primary schools would keep their gates closed until at least 18 January. The schools are required to remain open for remote learning, and for the children of key workers and those classed as vulnerable to attend school in person. The government has not divulged the basis on which it selected the 50 areas where primaries had been told to shut. It said the “contingency framework” plans were being implemented in local areas “with high rates of infection and with significant increases in seven-day case rates, and pressure on the NHS”. All 50 were in tier 4 areas but others in tier 4 had not been included. This led to confusion in areas with higher rates of infection but where primaries had been told to remain open. Haringey council, which has higher rates of infection than some areas on the list, said it would defy government advice and advise its primaries to close to all but vulnerable children and those of key workers. The leader of Greenwich council, which was also not included in the government’s contingency framework, said: “There appears to be no logic to how this list was brought together.” A group of London councils, including Haringey and Greenwich, jointly petitioned the government, asking for their primary schools to be able to close from 4 January. The Department for Education had said it would review the decision on school closures in the 50 named local authorities by 18 January but that move is now redundant. Possible next moves include adding more councils to the list of areas where primaries should close, adding secondary schools to the closures or an even wider closure across England. The latter is a serious possibility on the basis of scientific advice, such as research by Imperial College London into the new Covid-19 variant, B117, which found that it was directly affecting a greater proportion of people aged under 20.",education
"In parts of England, parents face more uncertainty as some local authorities delayed the reopening of schools due to the rise in coronavirus cases in the country.  The day before children were expected to return, most of those in Essex were asked to stay at home on Monday after the council said it would unilaterally close schools to most pupils until at least Wednesday. We would like to hear from parents who have been affected by the delay of schools reopening. Have you been able to find last-minute childcare? Do you have any concerns? You can get in touch by filling in the form below or via WhatsApp by clicking here or adding the contact +44(0)7867825056. Your responses are secure as the form is encrypted and only the Guardian has access to your contributions. One of our journalists will be in contact before we publish, so please do leave contact details. If you’re having trouble using the form, click here. Read terms of service here.",education
"The only black composer has been dropped from the syllabus of a popular A-level music exam, along with the study of jazz, because of course changes demanded by the coronavirus crisis, according to the examination board involved. Pearson Edexcel defended its decision to axe the work of the British jazz saxophonist Courtney Pine along with five others, including the Oscar-winning British composer Rachel Portman, because of “feedback from teachers that the volume of work was too high and needed accelerated change in the light of the Covid-19 pandemic”. Pine’s album Back in the Day had been included in the Pearson Edexcel A-level course’s “popular music and jazz” section, alongside Revolver by the Beatles and Hounds of Love by Kate Bush. But after next summer Pine’s work will be removed and jazz dropped from the renamed “popular music” category. In response to the decision, Pine said: “I was deeply honoured to be included in the A-level syllabus, it is a place in the UK education system that I never imagined to be in. “As a musician that tours the world representing who we are, to have a place in the awareness of our young during these times has been inspiring. I have met so many students who have told me that studying my music has contributed to their musical development, they are as aware as I am of the absence of British jazz composers to the syllabus until now. “I hope that there will be more UK composers who will be asked to contribute to such an important, influential subject.” Portman, the first woman to win an Academy award for best original musical score for her work on the 1996 film Emma, has also been removed after Pearson reduced the number of compositions to be studied from 18 to 12. The Cuban ensemble La Familia Valera Miranda was among those dropped. Those retained include the US film and television composer Danny Elfman, best known for his theme tune for The Simpsons, along with JS Bach and Igor Stravinsky. Only four women remain on the new syllabus, including the sitar player and composer Anoushka Shankar. A spokesperson for Pearson said: “We completely agree it is vital pupils get to study music by composers from different cultures and backgrounds. We want to ensure A-level music remains as rich and diverse as possible and will be reviewing this specification again in time for students taking exams from 2022 onwards.” The exam board said in its announcement that “although six set works have been removed from the specification and will no longer appear in questions on the exam paper, centres should add these to the wider listening list as they can prove to be valuable pieces” in answering exam questions. The A-level music syllabus offered by another exam board, AQA, has also been trimmed after Ofqual’s requirement last August “to accommodate potential public health requirements” as a result of the pandemic. In contrast to Pearson, AQA opted to shrink the amount of performance and composition required from students, without reducing its set works. The works in AQA’s pop music category include Stevie Wonder and Beyoncé as well as the black British composer Labrinth. Its jazz option includes the work of the Welsh pianist Gwilym Simcock, alongside Louis Armstrong, Charlie Parker and Miles Davis.",education
"The government’s plans for mass Covid testing of secondary pupils after Christmas are in disarray after unions told members not to work on the scheme over the holidays, branding it “inoperable” and “undeliverable”. A statement by the four main teaching unions and the National Governance Association advised staff to delay preparations until the start of term on 4 or 5 January and refuse to work on the scheme over the Christmas break. “It is our view that due to the chaotic and rushed nature of this announcement, the lack of proper guidance and an absence of appropriate support, the government’s plan in its current form will be inoperable for most schools and colleges,” the statement said. “Schools and colleges simply do not have the staffing capacity to carry this out themselves. As such, most will not be in a position to carry this out in a safe and effective manner.” The Royal Statistical Society said it had “major concerns” that the government’s plans may be unsafe because the tests were “imperfect and must be used with great care”, and it called on ministers to “review them with urgency”. On Thursday the Department for Education announced that the return of secondary school pupils in England would be delayed by a week and replaced by remote learning for most year groups, to allow schools to test all pupils using rapid lateral flow tests. Students and pupils at secondary schools and colleges are to be offered two rapid tests three days apart during the first week of term, with positive results confirmed by a lab-based PCR test. But the government’s plan ran into controversy for lacking detail and for having been announced as schools close for the Christmas holidays. In a measure of the DfE’s desperation to complete its own work on the programme, the Guardian has learned that civil servants in the department have been offered a £1,000 bonus if they volunteer to work over Christmas. The offer was announced by Susan Acland-Hood, the DfE’s permanent secretary, to staff on Thursday. The DfE’s announcements have not included any additional payments for school staff working over the holiday period. School leaders have already been told to remain on call until 23 December to conduct track and trace for pupils who tested positive for the virus at the end of term. Teachers and heads have told the Guardian of exhaustion as they come to the end of “a year of hell”. “I know heads who haven’t stopped since March and it’s not sustainable. At the best of times we work 50-plus hours a week. Now there are some teachers pushing 70-plus,” said one teacher, Matt David. The advice from the four main unions – the National Association of Head Teachers (NAHT), the Association of School and College Leaders (ASCL), the National Education Union and the NASUWT – reflects deep-seated anger among teachers at the DfE’s latest demands, and its failure to publish more details until just before Christmas. Paul Whiteman, the general secretary of the NAHT, said that while teachers supported the use of mass testing, there was not enough time to safely organise the screening of hundreds of pupils packed into just a few days by 4 January. “Given the lack of detailed guidance or a coherent plan, we do not believe schools or colleges will be able to begin working on this before the start of next term. We will fully support members who choose not to implement the plan if they consider it to be unworkable in their schools, as the government guidance allows for this,” Whiteman said, emphasising that the DfE had labelled its plan an “offer”. Geoff Barton, the general secretary of ASCL, said: “It is not possible to recruit and train all the people needed to carry out tests and put in place the processes that would be necessary, over the Christmas period, and it is extremely regrettable that the government has given the public an expectation that this will happen.” The schools minister, Nick Gibb, hosted an hour-long briefing for MPs at short notice on Friday and was unable to allay their concerns about whether schools would be given the resources they need to carry out the program. “It was just dire,” said one person on the call. “The thing that really riled people was that he said several times: ‘This is a good news story.’” The Royal Statistical Society said it had concerns about the scientific basis and safety of the government’s plans for testing in schools, and about “inaccuracies and omissions in the information provided to schools” by the DfE, noting that trials in Liverpool found tests missed more than half of positive cases, including 30% of those with high viral loads. “In the new testing programme for schools, individuals who have been exposed and have received a negative result will still have a significant risk of having the Covid-19 infection and spreading it to others,” it said. Anger at the lateness of the government’s announcement was also shared by school governors, whose national representatives were perplexed at suggestions by Gibb that they pitch in as volunteers. Sam Henson, of the National Governance Association, said: “We’ve heard from a lot of members today who are just angry. Some say they would support their communities of course and would do what they can but others feel that it’s just totally inappropriate. There seems to be an assumption that schools just have this bank of volunteers, which just isn’t true.” One chair of governors tweeted: “Not a chance of any of us volunteering for this. We are eyes-on, hands-off, and certainly not spare capacity to help the government. I do have some time during the day but this crosses a line.” Kate Green, the shadow education secretary, said: “We have been calling for mass testing for months, it’s a really important thing to do – but the implementation of it, coming out in the most half-baked way in the week before Christmas, when school leaders and staff are exhausted, is really unsatisfactory.”",education
"My husband, Karl Chidsey, who has died aged 83, was a popular teacher at Brighton Polytechnic (now University) on various subjects related to psychology and business within the business school. He was a lecturer there from 1969 until taking early retirement in 1991, after which we moved to Valencia in Venezuela, where he worked as an unpaid adviser to the catholic priest Padre Rivolta, founder of Hogares Crea, a local organisation set up to help with the rehabilitation of drug addicts. Karl also established his own clinical psychology service, running it at our home until 2011, by which time he had dealt with 4,000 cases. Karl was born in Bexhill-on-Sea in Sussex to Patricia (nee Le Beau), a care assistant in an old people’s home, and her husband, William, a fitter for the Hunslet Engine Company. Karl’s early days were spent in south Wales in the village of Senghenydd, where his paternal grandfather was a miner. He passed the 11-plus at the age of nine, after which he was awarded a scholarship to start early at Cockburn high school in Leeds, when a family move took them to the city. After national service in Aden in the early 1950s, Karl gained a degree in psychology at the University of Liverpool in 1963, followed by a master’s in ergonomics at Loughborough University in 1966. He then worked at the Furniture Industry Research Association, designing ergonomic chairs, before moving to Lewes in Sussex to lecture at Brighton Polytechnic.  Karl’s first marriage, to Catherine Platt in 1960, ended in divorce in 1980. He and I met at the University of East Anglia, where he was teaching an Open University course and I was writing my PhD thesis. We married in 1981. He is survived by me, two daughters, Karen and Jenny, from his first marriage, two of his three siblings, Bob and Philip, five grandchildren and two great-grandchildren.",education
"Imperial College London has blamed a “clerical error” after it emerged that its longstanding policy on bullying was altered days before staff were told of a completed investigation into bullying allegations against the world-leading university’s president. Alice Gast and the chief financial officer, Muir Sanderson, this week admitted to bullying colleagues after allegations against them were investigated during the summer by a QC who was commissioned to carry out an inquiry. They have remained in post at the London university despite mounting pressure to step down. The Guardian has now learned that changes were made without customary oversight earlier this month to a policy, which had the effect of watering down how severely bullying was regarded. The previous version said that bullying was “gross misconduct”. After the changes, the policy said that “all incidents will be taken seriously”. Hours after it was contacted by the Guardian about the changes, the university said that the policy had been “mistakenly edited and published without approval from the director of HR or due process”. It said the original policy would continue to apply. Clarifications have now also been published on the university’s website stating that the changes were due to a “clerical error” and the provost has launched a formal investigation to find out what occurred. The Office for Students (OfS), which has a role in regulating universities, is now looking into the controversy amid mounting disquiet among staff, students and others who are concerned that Gast and Sanderson are still in post. Anger has been exacerbated by the fact that at least two of the people who were bullied have left the university. Before the changes, Imperial’s policy on harassment and bullying stated: “Harassment, bullying and victimisation are viewed as gross misconduct, and disciplinary action, including dismissal, may be taken if any complaint of harassment, bullying or victimisation is upheld.” It was this wording, which had been in place for at least three years, that informed the investigation into the bullying allegations. However, shortly before staff were told of the inquiry, the wording of the policy was changed to read: “Zero-tolerance means any complaints must not be ignored and will be investigated. All incidents will be taken seriously and could provide grounds for disciplinary action that may lead to dismissal from the College.” Days after the new wording was put in place, an email to staff on 4 December first mentioned the investigation into the conduct of the president. In its clarification, the university said it was a mistake in the updated policy that meant that the passage referring to “gross misconduct” was left out. It is alleged that the revised policy, published after questions from an MP in parliament first made public mention of the bullying inquiry, was relied upon to provided a post-hoc justification for Gast and Sanderson’s conduct. A spokesperson for Imperial said: “We reject these allegations.”  Imperial said on Friday that the policy, which was in place from earlier this year, continues to apply and the passage flagged by the Guardian should not have been removed. The definition of zero tolerance, which had also been inserted, had not yet been consulted on, according to the clarification. The Imperial branch of the University and College Union called this week for the resignation of Gast and Sanderson for gross misconduct, with the union citing the college’s own statutes. It is unclear who approved the revised policy or who was responsible for setting in motion moves to make the changes.",education
"With our exit from the European Union just days away, we should be saying a very firm and British goodbye. Yet for many in the UK, it seems that on the eve of departure it is more a case of au revoir. The number of people learning a language in Britain has risen twice as fast as the rest of the world in the last year, according to online learning platform Duolingo, and one of the fastest growing groups is those learning French. Thousands more are learning Spanish, German, Italian, or other EU languages – with some of them hoping to improve their language skills to a level where they qualify for citizenship of a European country. Maxine Brown, a 27-year-old second year economics student, has been learning Danish for the last six months with the intention of moving to Denmark to pursue a postgraduate degree and work in environmental projects. “I’m interested in the resource side of economics and Denmark is really leading the way,” she said. “So I started learning Danish in May. Very quickly I was able to start reading newspapers and I joined online forums to really immerse myself and started listening to the radio to pick up the tones and the sounds.” Since British citizens will no longer have the right to live and work in EU countries after 31 December, Brown will need to pay tuition fees in full and needs a residence permit which requires a grasp of Danish. “If you want citizenship in Denmark, you need to be resident there for nine years without breaks,” Brown said. “But they also have other routes, so you can get a job or go via education or invest. Just because we’re leaving the EU, that doesn’t deter me because it’s something I want to do.” The UK is now one of Duolingo’s top five countries by the total number of daily learners, according to the app’s UK general manager, Colin Watkins, with a rise in new learners of 132% on last year. “Events like Brexit and Covid plus cultural moments like the Olympics [in Japan] are driving the change,” he said. “Brits now want to be better citizens of the world when we travel, when we do business, when we meet people in the UK.” Watkins said many of the 15 million people who have signed up to Duolingo’s online courses are not aiming to become fluent but to gain a basic level of understanding. “As one of our first courses French was already very popular, so to see it make the top five shows new learners have chosen it because they want to travel there in the future, maybe want to do business, emigrate, or just pick up on what they learned in school.” Other language learning apps are seeing similar rises. Memrise saw a large increase in new users in March, and 70% of people using its platform are learning Spanish or French, while German, Italian and Japanese are also popular. Formal language learning in schools has declined substantially over the last 15 years, but there are some signs of encouragement. The British Council’s annual Language Trends survey showed a marked increase in children who took French or Spanish at GCSE in 2019, although A-level entries were still down. And despite the decline at schools, adults continue to value language highly, the British Council found. During the spring lockdown, 10% of adults in the UK began learning a foreign language or returned to one after a break. A third of those surveyed said that Spanish was the most important language for young people to learn, followed by French at 20% and Mandarin at 18%. ",education
"Guidance warning schools against using resources from organisations that have expressed a desire to end capitalism will be reviewed by the Department for Education (DfE) following the threat of legal action. The guidance, published in September, was criticised by teachers, MPs and human rights groups over the risk it could impinge on freedom of belief, speech and expression in the classroom. In a pre-action letter sent in October, the Coalition of Anti-Racist Educators (Care) and Black Educators Alliance (BEA) said the guidance would prevent teachers using material from groups including Black Lives Matter and Extinction Rebellion, limiting anti-racism teaching. On Monday, the education secretary, Gavin Williamson, notified the group’s lawyers that “the wording of the guidance is being reviewed in light of issues which your clients have raised”. In the guidance issued for school leaders and teachers in England, the DfE categorised anti-capitalism as an “extreme political stance” and compared it with opposition to freedom of speech, antisemitism and endorsement of illegal activity. The guidance said schools should not “under any circumstances” work with or use material from groups that do not “condemn illegal activities done in their name or in support of their cause” or promote “victim narratives that are harmful to British society”. A letter sent to Williamson in early October by the law firm Bindmans on behalf of Care and BEA claimed the guidance failed to properly account for issues of discrimination, and that it was vague and poorly written. The groups launched a crowdfunding page to proceed with a judicial review if the department refused to withdraw the guidance. The announcement of a review was welcomed. “Within the process of evidence collection, we have heard from many students, teaching staff and parents of the impact of the guidance, which would see conversations on injustice and inequality outlawed from the classroom,” a spokesperson for Care said. Rachel Harger, of Bindmans, said: “We hope that given the obvious failures and shortcomings of the current guidance the secretary of state will accept that, as part of this review, a broad consultation with teachers, parents and trade unionists is not just desirable but entirely necessary. We will now stand by our clients as they anxiously await the outcome of this review.” A DfE spokesperson said: “We have provided schools with the materials that will give them the confidence to construct a curriculum that reflects diversity of views and backgrounds, including how to offer a balanced presentation of opposing views where political issues are brought to the attention of pupils. “We are clear that schools should not under any circumstances work with external agencies that take or promote extreme positions or use materials produced by such agencies and have set out a non-exclusive list of extreme political positions in the guidance. “We are reviewing wording of the guidance to explore where we can provide further clarity on these points.”",education
